# Taken from https://arxiv.org/abs/0902.1089, Fig. 14
# Columns are E (MeV), effective area for "source" analysis class (cm^2)
42.3761673300192,517.1817856409398
57.25322589818667,1746.4331681436397
76.87312922982993,2843.01128710839
109.3915021545421,4016.462532474973
143.56370542806243,4833.717407904314
205.99591274108306,5790.722845686333
281.21795009879094,6489.321493769099
387.10821805610215,7114.614125844595
506.98164319093854,7554.815471223845
616.180306360256,7827.3531410632295
739.6325500475642,8044.01714954959
910.2044868383846,8257.218404594425
1129.4495761931912,8432.025787919132
1407.334002303369,8550.978483882272
1724.716340676118,8593.105488422236
2078.8748198450526,8575.862873682594
2622.8052856770328,8523.760293132322
3350.5117005135585,8468.180728646934
4280.12278173387,8412.601164161542
7812.909638888463,8388.850470350983
12384.70781249975,8434.762786187295
18370.43254800782,8592.31806777663
25925.282059078847,8781.237357250013
35984.689641265315,8952.681600588363
53598.64835735944,9047.399765958702
80499.8057908406,9054.847057606912
116469.89801845944,9020.357084629763
157686.0272612182,8940.405428113481
235358.84155033503,8797.723384080173
